Z,U,R,n,NH,agn_percent,redshift,Lbol,L12um,W1L,W2L,W3L,W4L,w12_wrong,w23_wrong
0.1,-4.761702932,22.291,300,19,0,0,1,0.002219388,-10.50549994,-10.93842772,-13.79923305,-16.15664011,0.431809432,2.788211288
0.1,-4.761702932,22.291,300,19.5,0,0,1,0.002267076,-10.50404224,-10.93692021,-13.80751629,-16.15701909,0.43176058,2.799259464
0.1,-4.761702932,22.291,300,20,0,0,1,0.002419289,-10.50228512,-10.93485933,-13.8362446,-16.16101206,0.431431317,2.833898408
0.1,-4.761702932,22.291,300,20.5,0,0,1,0.002907575,-10.50257114,-10.9336118,-13.92624119,-16.1793925,0.429801997,2.935822825
0.1,-4.761702932,22.291,300,21,0,0,1,0.004380803,-10.50818467,-10.93469811,-14.16203316,-16.2372905,0.424960393,3.193748722
0.1,-4.761702932,22.291,300,21.5,0,0,1,0.008304456,-10.52585073,-10.94098632,-14.61675103,-16.37974396,0.412750309,3.673648322
0.1,-4.761702932,22.291,300,22,0,0,1,0.014495886,-10.54670551,-10.9489614,-15.08349783,-16.5740012,0.398711416,4.152286349
0.1,-4.761702932,22.291,300,22.5,0,0,1,0.017212891,-10.52119326,-10.9351911,-15.23430961,-16.64989254,0.410385018,4.32034474
0.1,-4.761702932,22.291,300,23,0,0,1,0.016445633,-10.395493,-10.86791238,-15.18262492,-16.60698734,0.470127297,4.33293245
0.1,-4.761702932,22.291,300,23.5,0,0,1,0.012288426,-9.995221085,-10.64758563,-14.89664602,-16.40420281,0.654282979,4.257759298
0.1,-4.759700418,22.141001,1000,19,40,0,1,0.002673411,-10.84593675,-11.48205747,-14.16127578,-15.92941978,0.638132157,2.622361155
0.1,-4.759700418,22.141001,1000,19.5,40,0,1,0.002866297,-10.85594871,-11.49413654,-14.26550582,-15.9461058,0.640293411,2.711682143
0.1,-4.759700418,22.141001,1000,20,40,0,1,0.003196198,-10.86181761,-11.50151958,-14.39410815,-15.9709256,0.641851236,2.832496627
0.1,-4.759700418,22.141001,1000,20.5,40,0,1,0.003952581,-10.86980563,-11.51218035,-14.59962533,-16.02938725,0.644595372,3.028634814
0.1,-4.759700418,22.141001,1000,21,40,0,1,0.005544614,-10.88248068,-11.52879805,-14.79636579,-16.15237158,0.648759386,3.216863274
0.1,-4.759700418,22.141001,1000,21.5,40,0,1,0.00930159,-10.90448468,-11.55218902,-15.06621974,-16.35886989,0.650290721,3.483477467
0.1,-4.759700418,22.141001,1000,22,40,0,1,0.015233648,-10.92545632,-11.57162271,-15.38665901,-16.59658308,0.648610125,3.803634111
0.1,-4.759700418,22.141001,1000,22.5,40,0,1,0.018088087,-10.9050104,-11.56400198,-15.50949754,-16.69749819,0.661592265,3.939247226
0.1,-4.759700418,22.141001,1000,23,40,0,1,0.017053503,-10.78377255,-11.49338209,-15.44494445,-16.66018155,0.713121278,3.942859327
0.1,-4.759700418,22.141001,1000,23.5,40,0,1,0.012665454,-10.38808099,-11.25439194,-15.16127947,-16.46109288,0.872485256,3.889829134
1,-4.754734161,22.141001,1000,24,20,0,1,3.10E-05,0.095237189,-2.429101257,-9.227971946,-12.8910107,2.526584442,6.690286946
1,-4.754734161,22.041,1000,19,20,0,1,0.003581547,-10.75461498,-11.19475397,-14.97798738,-15.94265314,0.440834738,3.688124578
1,-4.754734161,22.041,1000,19.5,20,0,1,0.004543912,-10.75811656,-11.20073468,-15.15718078,-16.02708845,0.443234277,3.864119583
1,-4.754734161,22.041,1000,20,20,0,1,0.006235454,-10.76209446,-11.20514372,-15.25811277,-16.16941863,0.443598621,3.970982504
1,-4.754734161,22.041,1000,20.5,20,0,1,0.010590365,-10.7757536,-11.2156648,-15.46453881,-16.43427091,0.440050813,4.189049738
1,-4.754734161,22.041,1000,21,20,0,1,0.017258984,-10.7933447,-11.22845054,-15.719707,-16.71916018,0.434556419,4.453850819
1,-4.754734161,22.041,1000,21.5,20,0,1,0.020493451,-10.77338908,-11.22145325,-15.8213832,-16.84686965,0.447483554,4.569380875
1,-4.754734161,22.041,1000,22,20,0,1,0.019295998,-10.65460995,-11.15296537,-15.7589087,-16.83749162,0.498549134,4.573332171
